Make,Model,Year,Country of Origin,Transmission,Engine Type,Engine Size (L),Mileage (km),Condition,Previous Owners,Additional Features,Resale Value (Ksh)
Toyota,Camry,2019,Japan,Manual,Diesel,2.5,132819,Fair,0,Backup Camera,968326
Nissan,X-Trail,2016,Japan,Automatic,Petrol,1.8,79209,Good,1,None,1247581
Volkswagen,Passat,2021,Germany,Automatic,Diesel,1.6,167452,Good,2,Leather Seats,2383638
Ford,Fiesta,2009,USA,Automatic,Diesel,1.6,174550,Poor,4,Backup Camera,421620
Nissan,Juke,2008,Japan,Automatic,Petrol,1.8,8879,Very Good,1,Bluetooth,949646
Honda,Accord,2014,Japan,Automatic,Diesel,2.5,109902,Excellent,2,GPS,1120664
BMW,5 Series,2002,Germany,Automatic,Diesel,3.2,177228,Excellent,3,Sunroof,2273306
BMW,3 Series,2004,Germany,Manual,Petrol,3.2,170877,Good,0,GPS,1971180
Nissan,Qashqai,2011,Japan,Manual,Petrol,2.5,194878,Fair,5,Leather Seats,579507
Toyota,Corolla,2005,Japan,Manual,Diesel,2.0,98130,Very Good,3,Bluetooth,595769
Subaru,Forester,2016,Japan,Manual,Diesel,3.2,125645,Fair,2,Backup Camera,1144554
Subaru,Outback,2017,Japan,Automatic,Petrol,1.8,160269,Poor,1,Heated Seats,769488
Toyota,Land Cruiser,2020,Japan,Automatic,Diesel,3.0,33405,Poor,4,GPS,798940
Honda,Fit,2017,Japan,Manual,Diesel,1.8,106672,Poor,4,Bluetooth,621526
BMW,X3,2009,Germany,Automatic,Diesel,2.0,64722,Fair,3,None,1338641
Volkswagen,Golf,2007,Germany,Automatic,Diesel,3.0,16730,Fair,1,Bluetooth,1494222
Volkswagen,Passat,2012,Germany,Automatic,Petrol,1.6,51782,Fair,0,Leather Seats,1696451
Subaru,Impreza,2012,Japan,Automatic,Diesel,4.0,13357,Very Good,2,Backup Camera,1710795
Subaru,Outback,2021,Japan,Automatic,Diesel,3.0,152620,Excellent,3,None,1597743
Mercedes,C-Class,2014,Germany,Automatic,Petrol,2.0,51483,Good,4,None,2050417
BMW,3 Series,2018,Germany,Automatic,Diesel,1.6,26553,Very Good,3,GPS,2494452
Ford,Fiesta,2013,USA,Automatic,Diesel,2.0,52329,Good,5,Heated Seats,938763
BMW,X5,2006,Germany,Manual,Petrol,1.6,75584,Excellent,4,Backup Camera,2001646
Mercedes,E-Class,2003,Germany,Automatic,Petrol,1.6,75271,Good,4,Backup Camera,1412785
Subaru,Outback,2007,Japan,Manual,Diesel,1.8,105159,Excellent,3,Backup Camera,697065
Honda,Fit,2010,Japan,Manual,Diesel,1.8,80152,Excellent,3,Sunroof,990913
Mercedes,C-Class,2008,Germany,Manual,Diesel,3.0,197334,Good,1,Leather Seats,1652240
Nissan,Navara,2004,Japan,Automatic,Petrol,1.8,192997,Excellent,3,Backup Camera,431644
Honda,Accord,2006,Japan,Manual,Diesel,2.5,138902,Poor,1,Backup Camera,407238
BMW,3 Series,2018,Germany,Manual,Diesel,2.0,163625,Good,3,None,2173690
Toyota,Land Cruiser,2014,Japan,Manual,Petrol,3.2,174776,Fair,0,Backup Camera,1265834
Toyota,Camry,2005,Japan,Manual,Diesel,1.8,5123,Excellent,5,GPS,837768
Subaru,XV,2022,Japan,Automatic,Diesel,2.5,98493,Very Good,5,Bluetooth,1508410
Ford,Fiesta,2008,USA,Manual,Diesel,4.0,194177,Fair,5,Heated Seats,865463
Subaru,XV,2001,Japan,Automatic,Petrol,3.2,189743,Good,5,Heated Seats,793757
Toyota,Land Cruiser,2006,Japan,Automatic,Diesel,1.6,79170,Very Good,5,Leather Seats,620556
Nissan,Navara,2018,Japan,Manual,Diesel,2.5,81257,Fair,1,GPS,958010
Subaru,Outback,2014,Japan,Automatic,Petrol,3.0,31590,Fair,4,Sunroof,781883
Toyota,Land Cruiser,2011,Japan,Manual,Petrol,3.0,148686,Fair,0,None,710721
BMW,3 Series,2014,Germany,Manual,Petrol,4.0,180679,Excellent,4,GPS,2975435
BMW,X5,2003,Germany,Manual,Petrol,2.0,26717,Good,1,Leather Seats,1608729
Honda,CR-V,2012,Japan,Manual,Diesel,3.0,118178,Poor,1,Bluetooth,554089
Mercedes,C-Class,2003,Germany,Automatic,Petrol,1.8,174369,Poor,0,Leather Seats,889382
BMW,5 Series,2003,Germany,Manual,Petrol,3.2,44708,Poor,5,None,1101905
Honda,Fit,2009,Japan,Automatic,Petrol,3.2,18540,Fair,5,GPS,1096100
Volkswagen,Passat,2004,Germany,Manual,Diesel,1.4,180223,Very Good,1,Backup Camera,1576190
Honda,Civic,2006,Japan,Automatic,Petrol,4.0,145213,Very Good,1,GPS,1221971
Toyota,Camry,2011,Japan,Manual,Diesel,1.6,177676,Poor,3,Backup Camera,476221
BMW,X5,2022,Germany,Manual,Diesel,4.0,75596,Fair,4,Bluetooth,2380104
Nissan,Navara,2002,Japan,Manual,Diesel,2.0,25495,Poor,4,Heated Seats,328923
Subaru,Outback,2007,Japan,Automatic,Diesel,2.5,102416,Fair,3,Sunroof,512844
Ford,Focus,2013,USA,Automatic,Petrol,3.2,166620,Fair,5,Leather Seats,1007552
Subaru,Outback,2016,Japan,Manual,Petrol,1.8,61888,Excellent,0,Backup Camera,1371277
Toyota,RAV4,2005,Japan,Manual,Diesel,4.0,31979,Good,2,Heated Seats,1254391
Toyota,RAV4,2008,Japan,Manual,Diesel,2.5,85303,Very Good,0,Heated Seats,781449
Nissan,Juke,2013,Japan,Manual,Petrol,3.0,149520,Excellent,5,None,940351
Honda,Fit,2002,Japan,Automatic,Petrol,4.0,174159,Good,2,Backup Camera,854778
Mercedes,E-Class,2000,Germany,Automatic,Petrol,1.8,160269,Very Good,3,Backup Camera,1307061
Ford,Ranger,2020,USA,Automatic,Petrol,1.4,169327,Excellent,2,Bluetooth,1557108
BMW,5 Series,2003,Germany,Automatic,Petrol,4.0,116951,Excellent,3,Heated Seats,2309360
BMW,X3,2011,Germany,Manual,Petrol,1.4,52618,Poor,5,Bluetooth,1099827
Honda,Fit,2011,Japan,Automatic,Diesel,2.5,195003,Poor,5,None,319873
Honda,Civic,2012,Japan,Manual,Petrol,1.8,11364,Poor,1,None,595255
Subaru,Impreza,2004,Japan,Manual,Diesel,2.5,177601,Very Good,5,Bluetooth,418559
Toyota,RAV4,2002,Japan,Manual,Diesel,1.6,151359,Poor,2,Sunroof,126631
Mercedes,GLA,2018,Germany,Manual,Petrol,1.6,169396,Fair,3,Leather Seats,1628437
BMW,5 Series,2006,Germany,Automatic,Diesel,1.8,45870,Good,0,Backup Camera,1788787
BMW,X5,2012,Germany,Manual,Diesel,1.8,106799,Poor,5,None,1098877
Toyota,Corolla,2011,Japan,Automatic,Diesel,1.4,50572,Excellent,3,Backup Camera,960434
Subaru,Outback,2015,Japan,Manual,Petrol,1.8,189933,Fair,2,Leather Seats,716966
Nissan,X-Trail,2009,Japan,Manual,Petrol,1.6,149875,Poor,3,None,435150
Volkswagen,Passat,2020,Germany,Automatic,Diesel,1.4,19391,Good,0,Sunroof,2561281
Mercedes,GLE,2006,Germany,Automatic,Diesel,1.8,45121,Fair,5,Bluetooth,1267176
Toyota,Corolla,2004,Japan,Automatic,Diesel,1.6,151975,Very Good,2,Sunroof,466611
Subaru,Forester,2007,Japan,Automatic,Petrol,3.2,44606,Very Good,4,Heated Seats,1290326
BMW,X3,2022,Germany,Automatic,Petrol,1.8,43666,Excellent,5,Backup Camera,2949488
BMW,X3,2020,Germany,Automatic,Petrol,2.5,126230,Poor,0,Bluetooth,1378058
Ford,Focus,2003,USA,Manual,Diesel,3.2,75680,Good,0,Sunroof,972828
BMW,3 Series,2023,Germany,Manual,Diesel,2.5,128332,Very Good,0,None,2776706
Mercedes,GLA,2004,Germany,Manual,Petrol,3.0,157075,Poor,2,Sunroof,844130
Subaru,Impreza,2003,Japan,Automatic,Petrol,1.8,162931,Fair,1,Bluetooth,311490
Subaru,Outback,2005,Japan,Manual,Petrol,1.8,49172,Very Good,3,Heated Seats,730045
Subaru,Outback,2011,Japan,Automatic,Diesel,2.0,189864,Very Good,2,Bluetooth,902269
Mercedes,E-Class,2023,Germany,Automatic,Diesel,2.0,148503,Very Good,2,Backup Camera,2740672
Toyota,RAV4,2004,Japan,Automatic,Petrol,3.0,163105,Poor,5,None,231336
Subaru,Outback,2019,Japan,Manual,Petrol,1.6,59499,Excellent,2,None,1647367
BMW,X3,2003,Germany,Automatic,Petrol,1.4,171298,Good,5,Heated Seats,1411936
Nissan,Navara,2017,Japan,Automatic,Petrol,1.4,82547,Good,1,Leather Seats,1291550
BMW,3 Series,2023,Germany,Manual,Diesel,2.5,122676,Very Good,2,GPS,2647802
Volkswagen,Tiguan,2023,Germany,Automatic,Diesel,1.8,81416,Poor,1,Heated Seats,1457680
Honda,Accord,2009,Japan,Manual,Diesel,3.0,123048,Very Good,4,GPS,703445
Ford,Ranger,2011,USA,Manual,Diesel,3.0,72350,Poor,4,Sunroof,495690
Subaru,XV,2023,Japan,Manual,Diesel,4.0,154349,Good,1,Leather Seats,1983586
BMW,X3,2016,Germany,Manual,Diesel,1.4,154465,Fair,5,Bluetooth,1621060
Volkswagen,Tiguan,2021,Germany,Automatic,Petrol,3.2,167659,Fair,0,Heated Seats,2244161
Nissan,X-Trail,2023,Japan,Automatic,Diesel,1.6,159981,Fair,4,Sunroof,1149653
Mercedes,E-Class,2013,Germany,Automatic,Diesel,3.0,19924,Poor,4,Backup Camera,1163038
Mercedes,C-Class,2005,Germany,Automatic,Diesel,2.0,135339,Excellent,4,Backup Camera,1662425
Honda,Accord,2007,Japan,Automatic,Petrol,4.0,21800,Fair,2,Bluetooth,1008003
Nissan,Navara,2021,Japan,Manual,Diesel,2.0,101594,Good,4,Leather Seats,1337619
Mercedes,C-Class,2021,Germany,Automatic,Diesel,2.5,107750,Good,0,Bluetooth,2307504
Volkswagen,Passat,2019,Germany,Manual,Petrol,3.2,169313,Very Good,4,Bluetooth,2918533
Mercedes,GLA,2001,Germany,Manual,Petrol,4.0,131862,Excellent,3,Backup Camera,2020297
Mercedes,GLA,2014,Germany,Automatic,Diesel,2.0,161309,Good,5,Leather Seats,1879456
BMW,X5,2003,Germany,Automatic,Diesel,3.2,160688,Very Good,2,Heated Seats,2063041
Honda,CR-V,2019,Japan,Manual,Diesel,2.5,52332,Poor,4,Sunroof,676840
Nissan,Qashqai,2009,Japan,Automatic,Diesel,1.8,178169,Very Good,0,Sunroof,888942
Nissan,Qashqai,2013,Japan,Manual,Petrol,1.8,179255,Poor,1,Heated Seats,598199
BMW,5 Series,2005,Germany,Manual,Diesel,3.0,128993,Very Good,5,Sunroof,1576763
Mercedes,C-Class,2008,Germany,Manual,Petrol,2.0,162614,Poor,1,GPS,1003497
Subaru,Impreza,2013,Japan,Manual,Petrol,1.6,83637,Fair,1,GPS,796566
Toyota,Corolla,2015,Japan,Manual,Diesel,1.6,38162,Poor,3,None,590363
Toyota,Corolla,2019,Japan,Automatic,Petrol,1.4,14973,Very Good,3,Backup Camera,1433320
Subaru,Impreza,2000,Japan,Manual,Petrol,1.4,157365,Excellent,5,Sunroof,306305
Honda,CR-V,2004,Japan,Manual,Petrol,1.4,22449,Poor,1,Leather Seats,508152
Volkswagen,Polo,2014,Germany,Automatic,Diesel,3.2,136880,Excellent,2,Sunroof,2964552
Mercedes,E-Class,2014,Germany,Automatic,Diesel,1.4,97845,Fair,0,Backup Camera,1583446
Ford,Fiesta,2021,USA,Manual,Diesel,3.2,36320,Poor,5,Leather Seats,1148012
Ford,Ranger,2008,USA,Manual,Diesel,3.2,70686,Excellent,5,Leather Seats,1393976
Ford,Ranger,2014,USA,Automatic,Diesel,3.2,184312,Fair,2,Heated Seats,1231019
Toyota,Camry,2007,Japan,Manual,Diesel,1.8,49201,Excellent,5,Backup Camera,900762
Subaru,Forester,2015,Japan,Automatic,Petrol,1.6,179765,Very Good,4,Backup Camera,1138060
Volkswagen,Passat,2023,Germany,Manual,Petrol,1.8,146790,Poor,4,Heated Seats,1449938
Volkswagen,Polo,2003,Germany,Automatic,Diesel,3.0,51696,Very Good,1,GPS,1674089
Ford,Explorer,2017,USA,Manual,Petrol,1.4,167348,Good,1,Sunroof,1229705
Volkswagen,Tiguan,2010,Germany,Manual,Petrol,2.0,31809,Poor,5,Backup Camera,1050340
Toyota,Corolla,2001,Japan,Automatic,Petrol,4.0,85727,Poor,1,Leather Seats,578374
Nissan,Juke,2014,Japan,Automatic,Petrol,1.6,131710,Excellent,1,Sunroof,1105945
BMW,5 Series,2008,Germany,Automatic,Diesel,4.0,73920,Fair,5,GPS,1687860
Toyota,Corolla,2023,Japan,Manual,Diesel,3.0,7697,Excellent,3,Heated Seats,1974262
Mercedes,GLE,2022,Germany,Automatic,Petrol,3.0,32797,Good,3,Heated Seats,2468043
Nissan,Qashqai,2016,Japan,Manual,Diesel,2.5,185661,Excellent,2,Sunroof,1182373
Subaru,XV,2012,Japan,Manual,Petrol,2.5,80170,Poor,1,GPS,599258
Nissan,Juke,2015,Japan,Automatic,Petrol,3.2,197180,Excellent,0,Backup Camera,1925218
BMW,X3,2012,Germany,Automatic,Diesel,2.0,26022,Fair,0,Leather Seats,1657629
Nissan,Juke,2005,Japan,Manual,Diesel,3.2,179089,Poor,4,None,527550
Subaru,XV,2002,Japan,Automatic,Diesel,1.4,53188,Good,4,Leather Seats,439045
Nissan,X-Trail,2013,Japan,Manual,Petrol,2.5,61473,Good,4,Sunroof,924221
Mercedes,GLA,2018,Germany,Manual,Petrol,1.4,53052,Fair,4,Bluetooth,1770565
Volkswagen,Polo,2018,Germany,Manual,Petrol,2.0,173262,Excellent,1,Sunroof,2655218
Volkswagen,Polo,2005,Germany,Manual,Petrol,2.5,31814,Poor,5,None,1007277
Volkswagen,Tiguan,2008,Germany,Automatic,Petrol,3.0,85584,Excellent,4,Sunroof,2061734
Nissan,Navara,2012,Japan,Automatic,Petrol,3.2,183850,Fair,0,Heated Seats,1055546
Mercedes,GLE,2019,Germany,Manual,Petrol,3.0,190633,Good,1,Heated Seats,2212900
Ford,Focus,2003,USA,Manual,Diesel,2.5,57682,Excellent,5,Bluetooth,488444
Volkswagen,Tiguan,2000,Germany,Automatic,Diesel,1.4,117544,Good,4,Leather Seats,1106904
Volkswagen,Golf,2012,Germany,Automatic,Diesel,1.4,85002,Fair,1,None,1607003
Mercedes,C-Class,2006,Germany,Automatic,Diesel,1.4,131312,Very Good,2,Backup Camera,1748277
Ford,Focus,2001,USA,Automatic,Petrol,3.0,37056,Very Good,0,Bluetooth,557015
Honda,CR-V,2013,Japan,Automatic,Petrol,1.4,171855,Very Good,0,Bluetooth,958225
Ford,Focus,2022,USA,Manual,Petrol,2.5,106653,Fair,3,Sunroof,1032730
Subaru,Outback,2014,Japan,Automatic,Petrol,3.2,79970,Excellent,0,GPS,1920118
Volkswagen,Golf,2005,Germany,Manual,Petrol,1.4,132711,Excellent,0,Bluetooth,1869220
Mercedes,C-Class,2005,Germany,Manual,Diesel,4.0,112022,Poor,5,Heated Seats,1101765
Nissan,X-Trail,2013,Japan,Manual,Petrol,1.4,33306,Poor,0,GPS,616042
Mercedes,GLA,2014,Germany,Automatic,Petrol,1.4,18474,Very Good,3,None,2401652
Ford,Explorer,2000,USA,Manual,Diesel,3.0,184248,Fair,0,None,305741
Toyota,Camry,2000,Japan,Automatic,Petrol,1.4,159318,Poor,5,Leather Seats,72442
Ford,Explorer,2009,USA,Automatic,Diesel,1.8,153204,Good,4,Sunroof,636794
Mercedes,C-Class,2022,Germany,Manual,Diesel,1.6,10600,Fair,2,Sunroof,2128697
Honda,Accord,2003,Japan,Manual,Diesel,2.5,149230,Good,4,Heated Seats,306558
Ford,Fiesta,2010,USA,Automatic,Diesel,1.4,78699,Very Good,3,GPS,888181
Ford,Fiesta,2014,USA,Manual,Diesel,3.0,32620,Fair,5,Leather Seats,799472
Toyota,Camry,2000,Japan,Manual,Diesel,3.2,78965,Poor,4,None,357503
Mercedes,GLE,2021,Germany,Manual,Petrol,3.2,198837,Fair,4,GPS,2183161
Nissan,Qashqai,2011,Japan,Manual,Diesel,1.4,66000,Excellent,0,Bluetooth,1234554
Nissan,Qashqai,2010,Japan,Automatic,Petrol,1.4,153085,Good,4,Bluetooth,610678
Subaru,Outback,2014,Japan,Automatic,Diesel,2.5,188712,Fair,5,None,669114
Toyota,Land Cruiser,2010,Japan,Manual,Petrol,2.0,36468,Good,2,None,866933
Honda,Civic,2014,Japan,Manual,Diesel,1.4,162450,Fair,4,Sunroof,657716
Ford,Explorer,2008,USA,Automatic,Petrol,4.0,37226,Excellent,2,Backup Camera,1725416
Subaru,Outback,2010,Japan,Manual,Diesel,1.4,9339,Very Good,3,Backup Camera,1009165
Subaru,Forester,2010,Japan,Automatic,Petrol,2.5,138474,Excellent,1,None,976660
Toyota,Land Cruiser,2011,Japan,Manual,Petrol,2.0,187156,Poor,1,Leather Seats,595610
Subaru,Forester,2005,Japan,Automatic,Diesel,2.0,160128,Good,5,Leather Seats,424614
Honda,Accord,2020,Japan,Automatic,Diesel,3.0,19083,Very Good,4,Leather Seats,1575117
Subaru,XV,2016,Japan,Manual,Petrol,3.0,137186,Good,3,Leather Seats,1003090
Toyota,Corolla,2012,Japan,Manual,Petrol,3.2,23554,Poor,4,Heated Seats,775146
Nissan,Qashqai,2002,Japan,Automatic,Petrol,2.0,50455,Very Good,4,Bluetooth,515640
Mercedes,GLA,2015,Germany,Automatic,Diesel,3.0,39068,Very Good,4,None,2293209
Ford,Fiesta,2017,USA,Manual,Petrol,4.0,193508,Fair,4,Heated Seats,1292516
Mercedes,E-Class,2013,Germany,Automatic,Diesel,2.0,34402,Excellent,2,Bluetooth,2613860
Subaru,Outback,2000,Japan,Automatic,Diesel,1.4,28831,Excellent,5,None,572093
Mercedes,GLA,2002,Germany,Automatic,Diesel,1.4,78905,Fair,5,Leather Seats,1095568
Honda,Fit,2013,Japan,Manual,Diesel,3.2,142535,Very Good,4,GPS,1409715
BMW,3 Series,2017,Germany,Manual,Diesel,1.6,162413,Poor,3,Bluetooth,1210761
Toyota,Land Cruiser,2012,Japan,Automatic,Diesel,1.8,144149,Poor,1,GPS,544173
Volkswagen,Tiguan,2021,Germany,Automatic,Petrol,3.2,151342,Fair,5,Backup Camera,2121515
Honda,Civic,2013,Japan,Manual,Petrol,2.0,128618,Fair,4,Heated Seats,655904
Subaru,Outback,2001,Japan,Automatic,Diesel,3.2,8174,Fair,2,Sunroof,718004
Nissan,X-Trail,2001,Japan,Manual,Diesel,4.0,108124,Poor,1,GPS,560778
Toyota,Land Cruiser,2022,Japan,Automatic,Diesel,2.5,134714,Very Good,3,Leather Seats,1517894
Mercedes,E-Class,2010,Germany,Automatic,Diesel,1.4,41335,Poor,0,GPS,1291025
Toyota,RAV4,2013,Japan,Manual,Petrol,3.0,6302,Good,3,Leather Seats,1091277
Honda,CR-V,2010,Japan,Manual,Petrol,2.0,170830,Good,4,Backup Camera,616126
Honda,Fit,2010,Japan,Automatic,Petrol,3.2,145868,Good,0,GPS,1240019
Toyota,RAV4,2002,Japan,Manual,Petrol,4.0,190991,Very Good,4,Sunroof,977456
Toyota,Land Cruiser,2010,Japan,Automatic,Diesel,3.2,109364,Good,2,None,1297846
Nissan,Qashqai,2000,Japan,Automatic,Petrol,3.2,142999,Very Good,0,Backup Camera,925016
Volkswagen,Passat,2000,Germany,Automatic,Diesel,1.8,58231,Very Good,0,Sunroof,1459860
Subaru,Impreza,2000,Japan,Automatic,Petrol,1.8,39691,Very Good,5,Sunroof,426423
Toyota,Corolla,2010,Japan,Manual,Diesel,3.0,13317,Good,0,Heated Seats,904135
Mercedes,C-Class,2009,Germany,Manual,Diesel,2.5,179551,Poor,5,None,1022990
Honda,Fit,2021,Japan,Automatic,Petrol,1.8,131359,Very Good,2,Sunroof,1396927
Toyota,RAV4,2014,Japan,Automatic,Diesel,1.8,137406,Poor,3,Sunroof,480692
Volkswagen,Passat,2018,Germany,Automatic,Petrol,2.0,9613,Excellent,1,Backup Camera,2862864
Subaru,Forester,2012,Japan,Automatic,Diesel,3.2,63119,Poor,0,GPS,894005
Ford,Fiesta,2015,USA,Manual,Diesel,1.4,189078,Very Good,2,Leather Seats,1055715
Ford,Focus,2012,USA,Automatic,Petrol,3.2,155871,Fair,5,Leather Seats,1003837
Mercedes,GLA,2005,Germany,Automatic,Petrol,1.4,32021,Excellent,3,Bluetooth,1962454
Subaru,Outback,2006,Japan,Manual,Petrol,1.4,197137,Poor,5,Bluetooth,262424
Subaru,Forester,2021,Japan,Manual,Petrol,3.0,57378,Fair,1,Heated Seats,1230647
Subaru,Outback,2022,Japan,Automatic,Diesel,2.0,157735,Excellent,2,Heated Seats,1613813
Volkswagen,Passat,2000,Germany,Automatic,Petrol,1.8,70666,Good,5,GPS,1276458
Ford,Ranger,2001,USA,Manual,Petrol,1.8,126003,Excellent,2,Heated Seats,414659
BMW,5 Series,2006,Germany,Automatic,Petrol,4.0,56472,Excellent,4,Backup Camera,2550181
Subaru,Impreza,2020,Japan,Manual,Petrol,1.4,94927,Good,0,None,1449692
Toyota,Camry,2010,Japan,Manual,Petrol,3.0,45305,Excellent,2,GPS,1204631
Subaru,Outback,2007,Japan,Automatic,Diesel,3.0,141304,Very Good,1,Leather Seats,773822
Volkswagen,Golf,2017,Germany,Automatic,Diesel,1.8,55897,Excellent,0,Bluetooth,2749297
Toyota,Land Cruiser,2013,Japan,Manual,Petrol,1.4,52999,Very Good,1,Sunroof,1098380
Nissan,Juke,2023,Japan,Automatic,Petrol,2.0,142184,Poor,2,Backup Camera,832541
Honda,CR-V,2009,Japan,Automatic,Diesel,3.0,158265,Fair,3,Backup Camera,475513
Honda,CR-V,2018,Japan,Automatic,Petrol,4.0,197278,Very Good,3,None,1841517
Volkswagen,Passat,2018,Germany,Manual,Petrol,2.5,22896,Poor,4,Bluetooth,1318715
Volkswagen,Passat,2017,Germany,Automatic,Diesel,2.0,161471,Good,5,GPS,2062918
Toyota,RAV4,2009,Japan,Manual,Petrol,4.0,187542,Very Good,2,Sunroof,1341653
Toyota,RAV4,2018,Japan,Manual,Diesel,1.8,78996,Excellent,5,Sunroof,1541811
Ford,Focus,2020,USA,Automatic,Diesel,2.0,90821,Poor,2,Sunroof,756197
Subaru,Forester,2019,Japan,Automatic,Petrol,1.4,181114,Excellent,4,GPS,1366056
Nissan,Juke,2000,Japan,Automatic,Diesel,3.0,61634,Poor,1,Heated Seats,194683
Subaru,Outback,2015,Japan,Manual,Petrol,2.5,131769,Fair,0,None,800172
Mercedes,GLE,2007,Germany,Automatic,Petrol,1.4,33807,Excellent,2,Backup Camera,2116707
Mercedes,C-Class,2022,Germany,Manual,Petrol,1.4,155829,Excellent,3,GPS,2751387
Subaru,Forester,2005,Japan,Manual,Petrol,1.6,126499,Good,5,Leather Seats,358788
Nissan,Juke,2016,Japan,Manual,Diesel,1.8,144023,Poor,3,Bluetooth,603264
Mercedes,E-Class,2007,Germany,Manual,Petrol,2.5,61337,Very Good,4,GPS,1775306
Nissan,Qashqai,2014,Japan,Manual,Diesel,4.0,157665,Excellent,5,Bluetooth,1647021
Toyota,RAV4,2015,Japan,Manual,Diesel,4.0,7286,Excellent,0,Backup Camera,2036910
Volkswagen,Golf,2010,Germany,Manual,Petrol,1.8,174240,Very Good,3,GPS,1815416
Mercedes,GLA,2009,Germany,Automatic,Diesel,3.0,162075,Fair,1,Leather Seats,1444780
Ford,Explorer,2023,USA,Automatic,Petrol,2.0,104123,Fair,0,Bluetooth,1152950
Ford,Explorer,2001,USA,Automatic,Diesel,1.4,90209,Poor,3,Bluetooth,103758
Toyota,Corolla,2010,Japan,Automatic,Diesel,1.8,50667,Good,5,Heated Seats,744104
Ford,Explorer,2022,USA,Automatic,Petrol,3.0,36365,Very Good,1,Backup Camera,1787969
Mercedes,C-Class,2000,Germany,Manual,Petrol,4.0,196684,Excellent,1,Bluetooth,2147053
Honda,Fit,2001,Japan,Automatic,Petrol,2.0,27150,Excellent,4,Heated Seats,504259
Subaru,XV,2000,Japan,Automatic,Petrol,1.8,162052,Fair,4,Backup Camera,65103
Honda,CR-V,2017,Japan,Automatic,Petrol,1.4,154008,Poor,3,GPS,548468
Ford,Focus,2014,USA,Automatic,Diesel,2.0,191093,Excellent,0,None,1273772
Honda,Accord,2020,Japan,Manual,Petrol,3.2,108974,Poor,3,Sunroof,1073241
Volkswagen,Tiguan,2014,Germany,Manual,Diesel,2.5,99877,Excellent,0,GPS,2590773
BMW,X5,2008,Germany,Manual,Petrol,3.0,84572,Excellent,3,Leather Seats,1967742
Ford,Explorer,2018,USA,Manual,Diesel,3.0,107117,Excellent,1,Bluetooth,1349959
Honda,CR-V,2007,Japan,Automatic,Diesel,4.0,115166,Fair,3,Heated Seats,887907
Volkswagen,Passat,2020,Germany,Manual,Diesel,1.6,57299,Poor,1,Bluetooth,1530978
Subaru,Outback,2011,Japan,Manual,Diesel,2.0,126996,Excellent,3,None,1004212
Mercedes,GLA,2003,Germany,Automatic,Diesel,1.4,61481,Fair,4,Bluetooth,1110679
Toyota,Corolla,2015,Japan,Manual,Petrol,2.5,198395,Excellent,2,Bluetooth,1129027
Mercedes,E-Class,2000,Germany,Manual,Diesel,2.5,111448,Excellent,4,None,1458939
Volkswagen,Passat,2006,Germany,Manual,Petrol,3.0,48267,Good,1,GPS,1729554
Mercedes,GLE,2004,Germany,Automatic,Petrol,1.4,123083,Good,4,GPS,1302616
Toyota,Corolla,2013,Japan,Manual,Petrol,1.6,186092,Good,5,GPS,778484
Toyota,Camry,2012,Japan,Automatic,Petrol,1.6,139656,Poor,2,Backup Camera,528500
Ford,Focus,2001,USA,Manual,Diesel,4.0,128337,Excellent,5,Leather Seats,890428
Honda,Civic,2019,Japan,Automatic,Diesel,4.0,76031,Fair,3,Bluetooth,1479922
BMW,X3,2005,Germany,Manual,Petrol,3.2,143000,Very Good,0,GPS,2305304
Toyota,RAV4,2014,Japan,Automatic,Petrol,1.4,184330,Good,0,Sunroof,1040921
Mercedes,E-Class,2023,Germany,Automatic,Petrol,3.2,135988,Excellent,3,Heated Seats,3408402
Ford,Fiesta,2013,USA,Automatic,Diesel,1.8,158236,Very Good,4,Bluetooth,990333
Toyota,Camry,2020,Japan,Manual,Petrol,4.0,188449,Excellent,1,Sunroof,2132961
Mercedes,GLA,2017,Germany,Manual,Diesel,1.6,118779,Poor,4,Bluetooth,1111100
Subaru,Forester,2008,Japan,Automatic,Diesel,1.8,161745,Excellent,3,None,724168
Nissan,X-Trail,2017,Japan,Automatic,Diesel,1.8,175872,Excellent,2,Backup Camera,1392136
Honda,Accord,2023,Japan,Manual,Diesel,2.0,127214,Excellent,5,Bluetooth,1647139
Volkswagen,Polo,2021,Germany,Manual,Petrol,3.2,93225,Fair,2,Bluetooth,2352843
Ford,Focus,2016,USA,Manual,Diesel,1.6,155470,Good,5,Leather Seats,1089035
Ford,Ranger,2004,USA,Automatic,Petrol,1.8,132974,Good,3,GPS,301349
Nissan,Navara,2013,Japan,Manual,Petrol,1.4,34264,Good,3,Leather Seats,1041817
BMW,X3,2022,Germany,Manual,Petrol,2.0,8525,Very Good,1,Leather Seats,2779190
Volkswagen,Polo,2008,Germany,Automatic,Diesel,1.4,180005,Excellent,3,Sunroof,1856076
Mercedes,GLA,2020,Germany,Automatic,Petrol,3.0,194249,Very Good,5,Backup Camera,2468634
Ford,Focus,2008,USA,Manual,Diesel,1.6,196304,Very Good,1,Leather Seats,774763
Ford,Ranger,2009,USA,Manual,Diesel,1.6,175480,Very Good,2,Sunroof,865464
Subaru,XV,2005,Japan,Automatic,Diesel,2.0,171604,Good,3,Heated Seats,539567
Subaru,XV,2001,Japan,Manual,Petrol,1.6,183088,Excellent,4,Bluetooth,295120
